kernel,branch,cosine_similarity,relative_l2,mse_l2_normalized,final_loss,roi_size
0,positive,0.980375349521637,0.1981147825717926,4.258839908288792e-06,4.475110017665429e-06,96
0,negative,0.9787067174911499,0.20636527760442763,4.6209456741053145e-06,4.890024229098344e-06,96
51,positive,0.9855540990829468,0.1699763536453247,3.134978214802686e-06,3.289219876023708e-06,96
51,negative,0.983555018901825,0.18135567009449005,3.5687803574546706e-06,3.7431932469189633e-06,96
53,positive,0.9845240116119385,0.175931568499301,3.3584974516998045e-06,3.555709554348141e-06,96
53,negative,0.9848459959030151,0.1740916222333908,3.2886173357837833e-06,3.479681936369161e-06,96
37,positive,0.9795860052108765,0.20205962657928467,4.4301314119366e-06,4.640984116122127e-06,96
37,negative,0.9910634756088257,0.13369005918502808,1.9393482943996787e-06,2.1111079604452243e-06,96
